,local_no,established_no,alcohol_no,bakery_no,dairy_no,flower_no,fuel_no,garden_no,grocery_no,meat_no,misc_no,natural_prod_no,packaged_no,pharmaceutical_no,prepared_no,restaurant_no,salad_no,seafood_no,skin_no,travel_no,vegetable_no,coupon_id
0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,105
1,638,3075,0,0,259,0,0,0,3082,2,0,0,242,0,0,0,0,128,0,0,0,6
2,1077,3870,0,16,260,0,0,0,4127,4,1,0,247,0,0,0,0,292,0,0,0,22
3,1043,3830,0,16,259,0,0,0,4127,3,1,0,246,0,0,0,0,221,0,0,0,31
4,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,107
5,609,926,0,0,1,0,0,0,1530,0,0,2,0,1,1,0,0,0,0,0,0,9
6,1171,1982,0,0,2,0,0,0,3133,0,2,6,2,1,7,0,0,0,0,0,0,21
7,1171,1980,0,0,2,0,0,0,3132,0,2,5,2,1,7,0,0,0,0,0,0,30
8,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,226
9,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,494
10,0,112,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,492
11,0,91,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,522
12,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,518
13,0,71,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,520
14,0,101,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,529
15,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,524
16,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,378
17,0,69,0,0,2,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,596
18,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,104
19,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,204
20,0,116,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,468
21,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,651
22,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,650
23,0,107,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,415
24,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,312
25,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,157
26,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,671
27,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
28,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,845
29,0,58,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,932
30,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,933
31,0,146,0,0,0,0,0,0,144,0,0,0,0,2,0,0,0,0,0,0,0,11
32,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,720
33,0,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,718
34,0,95,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,44
35,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,976
36,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,975
37,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,549
38,1069,10744,0,0,2,0,0,0,12,8,5,0,0,9616,0,0,0,0,2170,0,0,23
39,1069,10745,0,0,3,0,0,0,12,8,5,0,0,9616,0,0,0,0,2170,0,0,32
40,302,1287,0,0,0,0,0,0,1584,0,4,0,0,1,0,0,0,0,0,0,0,43
41,302,1287,0,0,0,0,0,0,1584,0,4,0,0,1,0,0,0,0,0,0,0,42
42,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,801
43,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,907
44,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,799
45,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,800
46,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,18
47,0,74,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1069
48,12,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,315
49,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,187
50,0,147,0,0,0,0,0,0,146,0,1,0,0,0,0,0,0,0,0,0,0,705
51,0,1085,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,37
52,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,241
53,0,38,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,878
54,0,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,876
55,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,643
56,0,41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,38
57,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,636
58,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,637
59,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1063
60,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1062
61,0,49,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,1,0,0,1109
62,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1072
63,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,534
64,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,822
65,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,825
66,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,824
67,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,387
68,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,703
69,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,674
70,0,77,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,783
71,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,953
72,0,51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,618
73,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,622
74,0,62,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1079
75,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,456
76,0,82,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,457
77,0,22,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,567
78,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,444
79,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,442
80,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,445
81,0,148,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,562
82,33,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,347
83,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,346
84,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,452
85,0,59,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,431
86,0,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,417
87,0,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,416
88,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,527
89,0,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,526
90,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,810
91,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,809
92,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,805
93,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,804
94,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,807
95,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,808
96,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,806
97,0,48,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,599
98,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,514
99,0,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,895
100,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,556
101,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,554
102,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,555
103,0,87,0,0,0,0,0,0,86,0,1,0,0,0,0,0,0,0,0,0,0,913
104,0,47,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,914
105,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,590
106,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,396
107,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,397
108,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,398
109,0,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,395
110,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,399
111,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,591
112,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,592
113,0,63,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,578
114,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,525
115,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,721
116,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,722
117,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,723
118,0,72,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,869
119,0,66,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,868
120,0,71,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,870
121,0,72,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,872
122,0,61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,670
123,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,672
124,0,43,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,584
125,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,587
126,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,586
127,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,585
128,0,51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,496
129,0,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,497
130,0,49,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,432
131,0,95,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,691
132,0,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,692
133,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,403
134,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,404
135,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,405
136,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,389
137,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,834
138,0,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,401
139,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,833
140,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,390
141,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,391
142,0,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,864
143,0,63,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,597
144,0,138,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,982
145,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,938
146,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,974
147,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,788
148,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,791
149,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,790
150,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,789
151,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,641
152,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,853
153,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,855
154,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,971
155,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,972
156,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,704
157,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,781
158,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,666
159,0,111,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,841
160,0,123,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,1088
161,0,123,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,1089
162,0,67,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,726
163,0,61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,725
164,0,61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,727
165,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,523
166,0,37,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,910
167,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,697
168,0,125,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,41
169,0,125,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,27
170,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,902
171,0,134,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,796
172,0,128,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,797
173,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,854
174,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1094
175,0,53,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,34
176,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,915
177,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,916
178,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,892
179,0,148,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,455
180,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,787
181,0,31,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,811
182,497,3897,0,0,0,0,0,0,29,2074,17,3,1676,0,4,0,1,590,0,0,0,24
183,337,3381,0,0,0,0,0,0,8,2029,15,0,1661,0,4,0,0,1,0,0,0,8
184,0,29,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,812
185,497,3897,0,0,0,0,0,0,29,2076,17,0,1677,0,4,0,1,590,0,0,0,33
186,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,702
187,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1064
188,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,715
189,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,716
190,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,717
191,0,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,981
192,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572
193,0,28,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1090
194,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,865
195,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,866
196,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,819
197,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1099
198,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1081
199,0,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1016
200,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1017
201,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,818
202,0,65,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1048
203,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,28
204,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,732
205,0,38,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,619
206,0,64,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,279
207,0,87,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,488
208,0,54,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,664
209,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,481
210,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,483
211,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,606
212,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,605
213,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,551
214,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,580
215,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,908
216,0,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,906
217,0,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,905
218,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,466
219,0,73,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,689
220,0,63,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,662
221,0,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,660
222,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,665
223,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,838
224,0,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1098
225,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1097
226,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,840
227,0,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,803
228,0,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,802
229,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,568
230,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1043
231,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,612
232,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1023
233,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,926
234,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,925
235,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,628
236,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4
237,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,484
238,112,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
239,114,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
240,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1084
241,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,847
242,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,418
243,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1026
244,0,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1091
245,0,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1092
246,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,993
247,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,385
248,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,384
249,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,383
250,0,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,888
251,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,109
252,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,441
253,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,440
254,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,744
255,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,745
256,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,388
257,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1115
258,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,266
259,0,38,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,890
260,0,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,889
261,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,108
262,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,143
263,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,352
264,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,89
265,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,351
266,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,873
267,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1070
268,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1071
269,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,498
270,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,491
